dataset,model,true_label,predicted_label,spam_score,error_type,text
Enron Spam,TF-IDF + SVM,spam,ham,0.10755644404723945,false_negative,"Subject: re : your details  
please read the attached file .
"
Enron Spam,TF-IDF + SVM,spam,ham,0.23930391865059314,false_negative,"Subject: hi there man - feel the power !  
"
UCI SMS,BERT Base,ham,spam,0.9997579455375671,false_positive,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
Enron Spam,TF-IDF + SVM,spam,ham,0.0002200101856993093,false_negative,"Subject: nymex invitation - learn power trading  
power trading
fundamentals :
sept 15 - 16 nymex in nyc
early bird discount now in effect !
nymex
power
delegates will learn :
electricity
markets overview
simulated
trading exercise
market
factors
basic
trading tools
new
york mercantile exchange
financial
instruments options
real
options
role
of risk management
identifying
different types of risk
position
analysis
portfolio
management
click
here to request complete course syllabus
contractual
terms , operational terms
terminology
trading
motivations of different physical electricity market participants .
buy
low - sell high
varied
traded assets
types
of electricity transactions
long - term ,
medium
and short - term contracts
transmission
services and traded power
this two - day course provides participants with
comprehensive training on power trading , deal structuring , credit risk ,
volatility , risk management , bilateral opportunities and more .
emi experts instruct using current data ,
real life examples , and practical experience !
contact
emi ( 888 ) 871 - 1207
click
here to request more information including syllabus
hurry class sizes
are limited !
click
here to see other energy training opportunities
registration
visit us online
www . energyinstitution . org
1369 madison ave , new york , ny 10128
to unsubscribe to future notices please email unsubscribe @ energyinstitution . org
"
Turkish SMS,TF-IDF + SVM,spam,ham,0.49403917722039675,false_negative,İdeal ısı ve enerji tasarrufu onda! Schafer Multicolor Seraşef Prestige  6 Parça Tencere Seti mutfakları şenlendirmeye geliyor! bit.ly/1O2SVXF
Enron Spam,TF-IDF + SVM,ham,spam,0.9680913759327696,false_positive,"Subject: interesting  
look what i found at jobsearch . monster . com . i thought this might help
you with your job searching .
com & hd = company % 2 emonster % 2 ecom & logo = 1
comments :
i thought you might be interested in this .
"
Enron Spam,TF-IDF + SVM,ham,spam,0.5655128401302326,false_positive,"Subject: re : billing question  
thank you for your message . the credit card i want to use is currently stored
in your system . when i want to update the billing information with this card
number , i am getting the answer : credit card already in use . the card is in
good standing and there is absolutely no problem with this card and there was
never any problem . i don ' t understand why your system failed . i think that
this is your problem , not mine .
discover
last 4 digits : 0057 .
expiration : 05 / 02
sincerely ,
w . kaminski
p . s . i have just called discover and was told the account is in pefect shape
( as expected ) . as i have said , you must have a bug in your system ."
YouTube Spam,DistilBERT,spam,ham,0.0125739686191082,false_negative,Yea stil the best WK song ever<br />Thumbs up of you think the same<br />﻿
Enron Spam,TF-IDF + SVM,ham,spam,0.9511926868688032,false_positive,"Subject: another time ?  
hey , i am back in olympia now . my friends wedding was sunday and i drove
home last night . too bad i didn ' t have the better e - mail address . the
wedding was really good , i tend to get cynical about such things but found
myself enjoying it and even tearing up at times . i saw a lot of people i
haven ' t seen since high school which was mostly good . it doesn ' t seem like
that much changes , a bit of growing up but people are still the same .
jennifer was one of the other bridesmaids , do you remember her ? i used to
call her niffer . anyways , seeing her was especially good .
are you still enginering ? ? ? ( smiles ) when you get a chance , let me know how
you are .
erin
get your free download of msn explorer at http : / / explorer . msn . com"
Enron Spam,TF-IDF + SVM,spam,ham,0.037173973012700076,false_negative,"Subject: thanks for your e - mail  
thank you for contacting ceg .
our help desk will forward your query to the appropriate department and you will receive our response very soon .
regards ,
ceg help desk"
